"name","category","BulkyDay","SampleAddress"
"Cielo Vista","rich","*NO SERVICE","21327 Rembrandt Hill, San Antonio, TX 78256, USA"
"Woodlake","normies","*NO SERVICE","6738 Cypress Lake Dr, San Antonio, TX 78244, USA"
"Brentfield",,"*NO SERVICE","5830 Encanto Point Dr, San Antonio, TX 78244, USA"
"Big Springs","rich","*NO SERVICE","2010 My Anns Hill, San Antonio, TX 78258, USA"
"Champions Ridge","rich","*NO SERVICE","6 Champion Trail, San Antonio, TX 78258, USA"
"Jefferson/ Monticello Park","rich","*Week of 08/09/2021","314 Club Dr, San Antonio, TX 78201, USA"
"Rolling Ridge Village/ Rolling Ridge Club",,"*Week of 08/09/2021","5427 Callaghan Rd, San Antonio, TX 78228, USA"
"Memorial Heights","normies","*Week of 08/09/2021","251 Mayberry Ave, San Antonio, TX 78228, USA"
"Canterbury Farms Community Association",,"*Week of 08/09/2021","739 Ridingate Farm, San Antonio, TX 78228, USA"
"Hillcrest","hipsters","*Week of 08/09/2021","630 Crestview Dr, San Antonio, TX 78201, USA"
"University Park","suits","*Week of 08/09/2021","121 Neulon Dr, San Antonio, TX 78228, USA"
"Rolling Ridge Club","normies","*Week of 08/09/2021","5434 E Rolling Ridge Dr, San Antonio, TX 78228, USA"
"Prospect Hill","normies","*Week of 08/09/2021","3413 W Martin St, San Antonio, TX 78207, USA"
"Loma Vista","normies","*Week of 08/09/2021","450 N San Felipe Ave, San Antonio, TX 78228, USA"
"Villa De San Antonio",,"*Week of 08/09/2021","4807 W Commerce St, San Antonio, TX 78237, USA"
"Thunderbird Hills","normies","*Week of 08/09/2021","4411 Callaghan Rd, San Antonio, TX 78228, USA"
"Woodlawn Hills","normies","*Week of 08/09/2021","341 W Quill Dr, San Antonio, TX 78228, USA"
"Inspiration Hills","normies","*Week of 08/09/2021","531 Lookout Dr, San Antonio, TX 78228, USA"
"Jefferson/ Woodlawn Lake","hipsters","*Week of 08/09/2021","2309 W Mulberry Ave, San Antonio, TX 78201, USA"
"Sunshine Estates","normies","*Week of 08/09/2021","3738 Sunshine Ranch Rd, San Antonio, TX 78228, USA"
"Jefferson","normies","*Week of 08/09/2021","419 Furr Dr, San Antonio, TX 78201, USA"
"Woodlawn Lake","rich","*Week of 08/09/2021","2710 W Ashby Pl, San Antonio, TX 78201, USA"
"Laddie Place and North Wilson","normies","*Week of 08/09/2021","103 Coyle Pl, San Antonio, TX 78201, USA"
"Culebra Park","suits","*Week of 08/09/2021","5223 Blessing St, San Antonio, TX 78228, USA"
"Jefferson/ Monticello Park/ Woodlawn Lake","hipsters","*Week of 08/09/2021","454 Donaldson Ave, San Antonio, TX 78201, USA"
"Donaldson Terrace","normies","*Week of 08/09/2021","1114 Bandera Rd, San Antonio, TX 78228, USA"
"Brady Gardens","rich","*Week of 08/16/2021","131 Carmen Pl, San Antonio, TX 78207, USA"
"Greater Gardendale","hipsters","*Week of 08/16/2021","2214 Castroville Rd, San Antonio, TX 78237, USA"
"Community Workers Council","uni","*Week of 08/16/2021","102 Westridge Dr, San Antonio, TX 78237, USA"
"Meadow Village","normies","*Week of 08/16/2021","7211 Camino Grove, San Antonio, TX 78227, USA"
"Community Workers Council/ Los Jardines","hipsters","*Week of 08/16/2021","825 SW 39th St, San Antonio, TX 78237, USA"
"Cable-Westwood","normies","*Week of 08/16/2021","6622 Elmer Blvd, San Antonio, TX 78227, USA"
"United Westwood","normies","*Week of 08/16/2021","1256 Pinn Rd, San Antonio, TX 78227, USA"
"Quintana Community","normies","*Week of 08/16/2021","1302 Quintana Rd, San Antonio, TX 78211, USA"
"Villas de Esperanza",,"*Week of 08/16/2021","2210 Calle Del Sol, San Antonio, TX 78226, USA"
"Springvale","normies","*Week of 08/23/2021","100 Valley Hi Dr, San Antonio, TX 78227, USA"
"Southwest","normies","*Week of 08/23/2021","5102 Trading Post, San Antonio, TX 78242, USA"
"Southpark",,"*Week of 08/23/2021","1714 Peterson Ave, San Antonio, TX 78224, USA"
"Owners Association of Lago Vista",,"*Week of 08/23/2021","8735 Sunview Park, San Antonio, TX 78224, USA"
"Gillette Area","normies","*Week of 08/23/2021","701 Rockwell Blvd, San Antonio, TX 78224, USA"
"Adams Hill","rich","*Week of 08/23/2021","9627 Adams Hill Dr, San Antonio, TX 78245, USA"
"Hidden Cove - Indian Creek/ Southwest","normies","*Week of 08/23/2021","8938 Five Palms Dr, San Antonio, TX 78242, USA"
"Stablewood/ Valley Hi North","suits","*Week of 08/23/2021","443 Stable Vista, San Antonio, TX 78227, USA"
"Solana Ridge Homeowners Association/ People Active in Community Effort","suits","*Week of 08/23/2021","7602 Umbra Heights, San Antonio, TX 78252, USA"
"Rainbow Hills","normies","*Week of 08/23/2021","2385 Horal Dr, San Antonio, TX 78227, USA"
"Valley Hi North","rich","*Week of 08/23/2021","4917 Ravenswood Dr, San Antonio, TX 78227, USA"
"People Active in Community Effort","suits","*Week of 08/23/2021","6038 Pine Valley Dr, San Antonio, TX 78242, USA"
"Mission San Jose","tourists","*Week of 08/30/2021","3127 Mission Rd, San Antonio, TX 78214, USA"
"Lavaca","hipsters","*Week of 08/30/2021","312 Riddle St, San Antonio, TX 78210, USA"
"Roosevelt Park","hipsters","*Week of 08/30/2021","675 Steves Ave, San Antonio, TX 78210, USA"
"King William","rich","*Week of 08/30/2021","205 E Guenther St, San Antonio, TX 78204, USA"
"Collins Garden","normies","*Week of 08/30/2021","2007 S Brazos St, San Antonio, TX 78204, USA"
"Riverside","hipsters","*Week of 08/30/2021","3322 S Presa St, San Antonio, TX 78210, USA"
"Tierra Linda","normies","*Week of 08/30/2021","1322 W Pyron Ave, San Antonio, TX 78211, USA"
"Palm Heights","normies","*Week of 08/30/2021","234 Royston Ave, San Antonio, TX 78225, USA"
"Pecan Valley Park Estates/ Pecan Valley",,"*Week of 09/06/2021","4119 Greco Dr, San Antonio, TX 78222, USA"
"East Pyron - Symphony Lane/ Mission San Jose","hipsters","*Week of 09/06/2021","113 Floss Rd, San Antonio, TX 78214, USA"
"Sunny Slope","normies","*Week of 09/06/2021","230 Chickering Ave, San Antonio, TX 78210, USA"
"Pecan Valley Heights/ Pecan Valley",,"*Week of 09/06/2021","4340 Southeast Dr, San Antonio, TX 78222, USA"
"Highland Park","normies","*Week of 09/06/2021","2904 S New Braunfels Ave, San Antonio, TX 78210, USA"
"Highland Hills","rich","*Week of 09/06/2021","214 Howerton Dr, San Antonio, TX 78223, USA"
"Hot Wells","uni","*Week of 09/06/2021","6211 S New Braunfels Ave, San Antonio, TX 78223, USA"
"McCreless Meadows","suits","*Week of 09/06/2021","3103 Nancy Carole Way, San Antonio, TX 78223, USA"
"Woodbridge at Monte Viejo","normies","*Week of 09/06/2021","3927 Cinco Rios, San Antonio, TX 78223, USA"
"Kingsborough Ridge","normies","*Week of 09/06/2021","9222 Yett Ave, San Antonio, TX 78221, USA"
"Southeast Citizens Committee/ Highland Park","normies","*Week of 09/06/2021","3314 S Gevers St, San Antonio, TX 78210, USA"
"Highland Forest","normies","*Week of 09/06/2021","7614 Glasgow Dr, San Antonio, TX 78223, USA"
"Riverside South","hipsters","*Week of 09/06/2021","202 Regina St, San Antonio, TX 78223, USA"
"Olmos Park Terrace","rich","*Week of 09/13/2021","928 E Contour Dr, San Antonio, TX 78212, USA"
"Monte Vista","rich","*Week of 09/13/2021","3200 McCullough Ave, San Antonio, TX 78212, USA"
"Los Angeles Heights - Keystone/ Northwest Los Angeles Heights",,"*Week of 09/13/2021","1243 Santa Barbara, San Antonio, TX 78201, USA"
"Westfort Alliance","hipsters","*Week of 09/13/2021","2424 Broadway, San Antonio, TX 78215, USA"
"Northmoor","normies","*Week of 09/13/2021","522 Lovera Blvd, San Antonio, TX 78212, USA"
"Alta Vista","rich","*Week of 09/13/2021","735 W Magnolia Ave, San Antonio, TX 78212, USA"
"Los Angeles Heights - Keystone","normies","*Week of 09/13/2021","1819 San Francisco, San Antonio, TX 78201, USA"
"Beacon Hill","hipsters","*Week of 09/13/2021","906 W Huisache Ave, San Antonio, TX 78201, USA"
"Edison","normies","*Week of 09/13/2021","701 Santa Monica, San Antonio, TX 78212, USA"
"River Road","rich","*Week of 09/13/2021","807 E Magnolia Ave, San Antonio, TX 78212, USA"
"Mahncke Park","rich","*Week of 09/13/2021","3928 Broadway, San Antonio, TX 78209, USA"
"Northwest Los Angeles Heights","normies","*Week of 09/13/2021","1335 Clower, San Antonio, TX 78201, USA"
"Dignowity Hill","hipsters","*Week of 09/13/2021","815 Dawson St, San Antonio, TX 78202, USA"
"Gardendale","hipsters","*Week of 09/13/2021","726 Delgado St, San Antonio, TX 78207, USA"
"Dignowity Hill/ St. Paul Square","rich","*Week of 09/13/2021","1123 E Commerce St, San Antonio, TX 78205, USA"
"Avenida Guadalupe","normies","*Week of 09/13/2021","1622 El Paso St, San Antonio, TX 78207, USA"
"Park Village","normies","*Week of 09/20/2021","4811 Village View, San Antonio, TX 78218, USA"
"Lakeside","normies","*Week of 09/20/2021","5915 Sinclair Rd, San Antonio, TX 78222, USA"
"Camelot 1","normies","*Week of 09/20/2021","5202 Galahad Dr, San Antonio, TX 78218, USA"
